area_m2,land_m2,year_built,price
152,468,1998,304824
229,694,1993,477773
142,653,2005,320851
64,524,1977,171857
156,712,1955,338645
121,617,2010,316198
238,791,1969,491999
70,381,1951,122042
152,419,2022,310308
171,542,1986,293860
124,414,1969,207878
137,476,1975,233835
166,388,1978,323018
149,536,1950,252182
153,761,1984,343164
201,376,2019,381729
180,681,2008,390072
199,602,2018,445801
102,723,1982,242147
51,615,2000,178392
137,449,1961,216450
207,545,1969,337099
87,449,2002,185064
179,706,1992,375959
241,763,1999,479513
237,236,1978,341851
70,342,2006,126273
210,642,1988,404737
107,139,2005,138205
71,328,1992,154301
138,647,1999,312048
98,322,1972,129248
108,105,1993,144815
219,421,1987,359656
237,567,1972,422283
64,174,1994,126609
239,103,2001,317596
239,745,1999,483800
224,217,1957,308197
239,705,1950,437926
100,603,1957,206863
157,673,1978,308060
104,540,1954,186618
113,293,1996,183179
180,491,1983,347720
100,125,2014,164426
184,534,2004,399823
70,272,1992,125186
122,399,2023,246631
216,744,1979,396525
67,425,1966,90437
181,509,1975,291617
138,217,1957,187742
109,324,1996,209474
63,631,2021,185076
58,212,1995,117300
139,239,2017,238638
102,658,1982,244535
179,100,1950,245744
133,189,1968,198236
141,753,1980,311729
160,419,1963,243976
237,649,2002,419263
248,238,1997,377216
221,610,2018,442277
57,358,2011,123356
224,772,2015,477774
84,789,2013,273337
130,109,2019,206302
213,360,2012,365499
99,749,2022,298673
153,271,1982,249538
181,112,1990,237092
51,267,1997,130118
183,741,1962,357728
103,695,2022,290876
155,420,1980,285664
53,418,2017,159764
103,712,1953,243962
240,428,1968,394342
195,649,2019,404051
93,518,1962,187330
211,705,1972,381625
239,194,1950,324471
63,680,2003,207835
144,417,2020,290237
97,335,1964,148929
64,433,2014,133963
249,475,2020,452525
239,558,1964,410956
89,236,1970,128897
131,687,1968,256346
160,646,2009,378514
102,612,1982,215076
73,395,1998,180889
203,419,1984,355843
237,671,1993,444775
173,448,1960,319606
90,328,2021,172727
206,369,2023,399183
64,390,2015,184011
94,264,1995,150387
114,104,1958,152649
138,478,1952,224599
120,177,1975,171173
58,509,2021,190006
137,673,1997,309413
178,231,2015,319416
185,700,2019,427369
112,141,1977,113229
188,188,1975,295686
130,501,1974,210950
185,395,1961,313150
212,394,1954,348334
212,715,1997,411180
82,625,1986,200783
172,790,1993,361885
54,736,1964,162901
90,521,1992,200039
77,122,1997,127493
184,674,2019,431006
121,242,1995,227813
61,764,1992,200056
211,244,1970,306115
82,324,1972,101131
97,602,1996,220782
200,715,1964,401297
111,203,1974,188411
86,138,1985,91913
148,297,2000,244550
221,745,1964,418971
153,678,2017,362703
84,490,1970,152807
242,278,1962,364081
150,653,1968,289123
224,547,1983,403110
180,599,2017,392725
50,114,2001,73928
54,722,1976,167672
191,768,1978,390907
152,388,1977,255832
76,577,1984,180999
186,330,1957,271824
64,519,1965,171772
139,256,1985,230918
91,649,1979,214390
173,540,1967,323439
228,196,1951,300523
112,510,1998,266462
145,388,1953,230492
101,353,1956,150953
145,295,2023,283454
181,697,1988,342482
200,621,1962,338664
192,616,1980,342321
220,734,2020,474658
78,217,2012,182050
85,258,2005,203726
